"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30070","Check","firefox","Thu Sep 19 12:35:47 COT 2024","broken","Thu Sep 19 12:36:17 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","3098","Registrando Info Seguros","chromium","Thu Sep 19 12:35:11 COT 2024","passed","Thu Sep 19 12:35:14 COT 2024","","regressionTest/operaciones/05-seguros_mercancia.spec.js","",""
"","30183","Validar redirección a la sección ""Recursos""","chromium","Thu Sep 19 12:35:16 COT 2024","broken","Thu Sep 19 12:35:46 COT 2024","Navegación en Staging Finkargo Col // User Interno","regressionTest/operaciones/07-comite.spec.ts","",""
"","3025","Load Staging Environment","firefox","Thu Sep 19 12:35:44 COT 2024","passed","Thu Sep 19 12:35:47 COT 2024","","regressionTest/HealtCheck/00_Read_Environment.spec.ts","",""
"","30213","test","webkit","Thu Sep 19 12:37:47 COT 2024","broken","Thu Sep 19 12:38:17 COT 2024","","regressionTest/operaciones/00-crearCotizacion-cliente01.spec.js","",""
"","3125","orSkipOnFail","webkit","Thu Sep 19 12:37:45 COT 2024","passed","Thu Sep 19 12:37:48 COT 2024","Testing screenplay-playwright-js failure handling","regressionTest/HealtCheck/02_failure-handling.spec.ts","",""
"","6169","Buscando Solicitud de Operación","firefox","Thu Sep 19 12:36:27 COT 2024","passed","Thu Sep 19 12:36:33 COT 2024","","regressionTest/operaciones/01-solicitar_operacion.spec.js","",""
"","4321","Registrando Info Proveedores y bancos","firefox","Thu Sep 19 12:36:35 COT 2024","passed","Thu Sep 19 12:36:40 COT 2024","","regressionTest/operaciones/06-proveedore_bancos.spec.js","",""
"","3220","Registrando form Info operativa","webkit","Thu Sep 19 12:37:52 COT 2024","passed","Thu Sep 19 12:37:56 COT 2024","","regressionTest/operaciones/04-info_operativa.spec.js","",""
"","30198","Fill+Type","webkit","Thu Sep 19 12:37:11 COT 2024","broken","Thu Sep 19 12:37:41 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2955","orSkipOnFail","chromium","Thu Sep 19 12:35:04 COT 2024","passed","Thu Sep 19 12:35:06 COT 2024","Testing screenplay-playwright-js failure handling","regressionTest/HealtCheck/02_failure-handling.spec.ts","",""
"","2838","failAsFalse","chromium","Thu Sep 19 12:35:04 COT 2024","passed","Thu Sep 19 12:35:07 COT 2024","Testing screenplay-playwright-js failure handling","regressionTest/HealtCheck/02_failure-handling.spec.ts","",""
"","3373","Registrando formulario Info Financiera","webkit","Thu Sep 19 12:37:52 COT 2024","passed","Thu Sep 19 12:37:55 COT 2024","","regressionTest/operaciones/03-info_financiera.spec.js","",""
"","5710","orSkipOnFail","firefox","Thu Sep 19 12:36:23 COT 2024","passed","Thu Sep 19 12:36:28 COT 2024","Testing screenplay-playwright-js failure handling","regressionTest/HealtCheck/02_failure-handling.spec.ts","",""
"","30137","test","firefox","Thu Sep 19 12:36:25 COT 2024","broken","Thu Sep 19 12:36:55 COT 2024","","regressionTest/operaciones/00-crearCotizacion-cliente01.spec.js","",""
